"wy","site","ts.fdd","ts.tdd","ts.mean","ts.obs","ta.fdd","ta.tdd","ta.mean","ta.obs","nf","ta.tdd1","ts.tdd1","t5","max","mean","med"
2014,"DAVY",0,311.161111111111,3.61815245478036,187,-6.275,900.464583333333,10.3975532945736,187,0,NA,NA,NA,NA,NA,NA
2014,"HDF1",0,234.433901515152,2.72597559901339,187,-4.94791666666667,918.0625,10.6176114341085,187,0,NA,NA,NA,NA,NA,NA
2014,"LBR",0,0,NA,273,-4.58333333333333,937.967147435897,10.8533001639833,187,0,NA,NA,NA,NA,NA,NA
2014,"LDF2",0,460.257738095238,5.35183416389812,187,-4.32083333333333,966.319047619048,11.1860257475083,187,0,NA,NA,NA,NA,NA,NA
2014,"MDF1",0,312.365833333333,3.63216085271318,187,-5.17708333333333,921.945833333333,10.660101744186,187,0,NA,NA,NA,NA,NA,NA
2014,"MDF2",0,344.59625,4.00693313953488,187,-4.58333333333333,939.445833333333,10.8704941860465,187,0,NA,NA,NA,NA,NA,NA
2015,"DAVY",-1819.57916666667,390.38112244898,-3.91561108004846,0,-4926.6,1206.78239795918,-10.1912811014817,0,0.369337710929783,900.464583333333,311.161111111111,599,610,478.03355704698,531
2015,"HDF1",-1532.71875,265.691666666667,-3.47130707762557,0,-4747.98958333333,1213.72363945578,-9.68292039418507,0,0.32281426129919,918.0625,234.433901515152,599,610,478.03355704698,531
2015,"LBR",0,57.7333333333333,1.40813008130081,324,-4653.075,1239.46875,-9.35234589041096,0,0,937.967147435897,0,599,610,478.03355704698,531
2015,"LDF2",-428.185416666667,501.518069727891,0.20091137824993,0,-4549.86666666667,1263.73307823129,-9.00310572174075,0,0.0941094427675536,966.319047619048,460.257738095238,599,610,478.03355704698,531
2015,"MDF1",-1238.07291666667,413.442553191489,-2.25926126979501,0,-4691.41875,1220.88350973368,-9.50831572675704,0,0.263901600484217,921.945833333333,312.365833333333,599,610,478.03355704698,531
2015,"MDF2",-1507.9125,436.608801020408,-2.93507862734135,0,-4753.6125,1256.98333333333,-9.57980593607306,0,0.317214013552851,939.445833333333,344.59625,599,610,478.03355704698,531
2016,"DAVY",-1366.5125,409.853014184397,-2.61382373173662,0,-5220.74791666667,1418.40678191489,-10.3889102042398,0,0.261746501040121,1206.78239795918,390.38112244898,711,719,543.497835497835,579
2016,"HDF1",-1385.91041666667,267.490670289855,-3.05579165676724,0,-5014.72083333333,1408.09248188406,-9.8541758236319,0,0.276368408676787,1213.72363945578,265.691666666667,711,719,543.497835497835,579
2016,"LBR",-736.08125,194.139317375887,-1.48071566290741,0,-4950.52916666667,1423.32646276596,-9.63716585765221,0,0.148687387796086,1239.46875,57.7333333333333,711,719,543.497835497835,579
2016,"LDF2",-213.791666666667,691.999689716312,1.30657929794985,0,-4875.95208333333,1444.59397163121,-9.37529538716428,0,0.0438461377414753,1263.73307823129,501.518069727891,711,719,543.497835497835,579
2016,"MDF1",-944.939583333333,495.53710106383,-1.22787563461613,0,-4968.45416666667,1410.98665780142,-9.71985658159904,0,0.190187843469087,1220.88350973368,413.442553191489,711,719,543.497835497835,579
